label,precision,recall,f1-score,support
0,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,148.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,15.0
5,0.9953051643192489,0.9953051643192489,0.9953051643192489,213.0
6,1.0,1.0,1.0,100.0
7,1.0,1.0,1.0,191.0
8,1.0,1.0,1.0,95.0
9,1.0,1.0,1.0,177.0
10,1.0,1.0,1.0,168.0
11,1.0,0.9928571428571429,0.996415770609319,140.0
12,1.0,1.0,1.0,321.0
13,1.0,1.0,1.0,37.0
14,0.99375,1.0,0.9968652037617556,159.0
accuracy,0.999031007751938,0.999031007751938,0.999031007751938,0.999031007751938
macro avg,0.9992703442879499,0.9992108204784261,0.9992390759126882,2064.0
weighted avg,0.9990340358527131,0.999031007751938,0.9990308988776277,2064.0
